_id,ID,Option,Point,Comment
658bbd01f6a7a54f2506c674,lsw5***,선택 옵션\n갤럭시노트20 울트라 256GB,4,"중고폰을 처음 구매해봐서 솔직하게 적어 보겠습니다.\n\n중고폰을 개인거래로 구매할까 하다가, 요새 하도 사기가 많아서 차라리 10만원 웃돈을 주더라도\n제대로된 중고폰을 업체에서 구매하자 라는 마음에 구매하게 되었고\n중고폰 업체가 워낙 많다보니 10군데 정도 비교해본 결과 \n이곳이 가장 가격대비 가성비가 좋다고 느껴졌습니다.\n구매할때도 상담사분과 카톡 할일이 있었는데 매우 친절하게 응대해주셨고 만족했습니다.\n그러나 구매 후에는 조금 태도가 다른거 같긴 하네요 .. ㅋ (사진 첨부)\n\n배송이 온 상태는, 안전하게 뽁뽁이에 포장되서 오긴 했지만\n뽁뽁이 양 옆이 봉인된게 아니다보니 꺼내실때 조심히 꺼내야 합니다.\n핸드폰 외관은 s 급 상태임에도 육안으로 보기에 생활 스크레치 정도 밖에 없는 좋은 상태였습니다.\n\n배송온 핸드폰의 배터리는 보시는 바와 같이 11-12프로 정도인데 전원이 꺼져있음에도 \n이정도 상태로 배송이 온것은 검수한지 오래 지난 것이지 않나 합니다.\n애초 원했던 색상으로의 재입고 일정이 생각보다 늦어져서 원하는 색상을 받지 못했더니\n재고가 많이 남은걸 보내주신것 같기도 하네요\n\n한가지 충격적인건 유심 트레이를 분리할 수 있는 핀이 없는 줄 알았는데\n배송온 포장지 끈끈한 부분에 붙어 있었습니다.\n아무래도 분실의 우려로 그렇게 보내주신듯 한데\n이걸 사용하자니 끈끈해서 만지고 싶지 않았습니다..(사진 첨부)\n\n그래도 중고폰 a/s 가 된다는 사실이 좋았고, 이번에 특별히 1년 연장 이벤트 중이어서\n꽤나 만족하고는 있습니다. (사진 첨부)\n\n한가지 사용중에 오류가 되는 부분이 있어서 문의를 했고\n다른 부분은 다 괜찮은데 이부분에서 오류가 발생한다는 것이 납득이 되진 않았습니다.\n개인적으로 특 s 급 정도는 되야 이런 문제가 없는 건가 싶긴 한데\n그정도 금액이면 개인거래로 발생하게 되는 손해를 감수하는 것과 별반 다를 바 없어 보였습니다.\n현재 갤럭시 s20 노트 울트라 개인거래 시세는 평균 40만원대 정도로 확인이 되네요.\n\n아무튼 일단 사용은 해보려합니다.\na/s 기간이 넉넉한게 한 몫 하네요."
658bbd01f6a7a54f2506c676,nabi***,선택 옵션\n갤럭시노트20 울트라 256GB,5,"헐..\n케이스만 없지, 완전 새건데용....\n기대이상입니다.\n매의눈으로살펴봐도 기스하나 없어요..\n\n재고들어올때까지 기다려달라고 미리연락주셔서 감사했구요~\n동일제품 미개봉제품 30마넌씩 더주고 샀으면\n억울할뻔 했을 만큼 만족.대만족입니다!\n\n주위사랑들에게도 추천해 드리고 싶을정도의 품질입니다!"
658bbd01f6a7a54f2506c678,k78j*,선택 옵션\n갤럭시노트20 울트라 256GB,5,배송도 빠르고 문의 답변도 빠르네요\n단말기는 배터리가 충전이 안된 상태라 백업 하는데 좀 오래 걸렸는데 상태는 2년 넘은 폰 치고 깨끗 합니다.\n근데 카메라 렌즈 부분에 스크레치가 좀 많이 있네요\n카툭튀라 어쩔수 없는 부분인데 그 부분 빼고는 양호 합니다.
658bbd01f6a7a54f2506c67a,경동맨,선택 옵션\n갤럭시노트20 울트라 256GB,5,s급은 처음 구매하는데 생각보단 괜찮은것 같습니다.\n잘쓸께요
658bbd02f6a7a54f2506c67c,hsh2***,선택 옵션\n갤럭시노트20 울트라 256GB,5,노트 울트라로 구입\n리퍼폰 첨이라 걱정마니 했는데\ns급이어서 그런지\n상태 양호하고 좋습니다..\nskt 유심넣으니 바로 사용가능..
658bbd02f6a7a54f2506c67e,sexy*******,선택 옵션\n갤럭시노트20 울트라 256GB,5,좋은 휴대폰 감사합니다.\n재구매인데 매우 만족합니다.\n폰마블 최고입니다.
658bbd02f6a7a54f2506c680,geul******,선택 옵션\n갤럭시노트20 울트라 256GB,5,"배송도 무척 빨랐지만, 배송 받고 깜짝 놀랐습니다. 정말 새 기계를 산 것 같아요. 흠집 하나 없고, 모든 데이터 이관해서 사용해보니 모든 기능 정상입니다.  배터리 상태도 비교적 괜찮고요."
658bbd02f6a7a54f2506c682,endy*************,선택 옵션\n갤럭시노트20 울트라 256GB,5,후면 카메라 모서리 부분에 약한 찍힘이 있는 것을 제외하고 전반적으로 아주 깨끗합니다. 꼼꼼하게 검수한다고 해서 처음 구매했는데 받아서 사용하보니 매우 만족스럽습니다.
658bbd02f6a7a54f2506c684,tach****,선택 옵션\n갤럭시노트20 울트라 256GB,5,교환도 빠르게 처리해주시고 서비스가 좋아요. 또 이용하겠습니다.
658bbd02f6a7a54f2506c686,grac*****,선택 옵션\n갤럭시노트20 울트라 256GB,4,신랑이 노트20  써보고 싶대서 주문했어요 다행이도 통신사 같은걸로 와서 좋았구요 액정은 깨끗한데 뒷면은 s급인데 조금 아쉽긴 했어요 다른 부분은 다 만족이에요
658bbd02f6a7a54f2506c688,roh9**,선택 옵션\n갤럭시노트20 울트라 256GB,4,"(사진 왼쪽 노트20U, 오른쪽은 액정에 문제가 있는 노트8)\n직접 가서 받아 사용한지 4주 정도 되었네요.\n외관은 거의 새 것 같이 깨끗했고, 화면 등 기능도 모두 이상없었어요. 다른 곳을 포함해 중고폰을 5개 째 샀는데 모두 좋은 제품들이었죠. \n폰마블은 상당히 가까운곳에 사무실과 깔끔한 매장이 있어 다시 구매 할 거 같아요."
658bbd02f6a7a54f2506c68a,myun*****,선택 옵션\n갤럭시노트20 울트라 256GB,4,"s등급을 샀는데, 조금아쉽지만 젤리케이스 씌우니 새것처럼 보이네요.  앞으로 3년 잘 사용하겠습니다. \n\n며칠 2틀정도 사용해 봤습니다. 상당히 만족 스럽네요..음악소리도 좋고 터치감도 좋고 앱도 빨리 돌아가고요..용량도 충분하고요..만족합니다"
658bbd02f6a7a54f2506c68c,stey****,선택 옵션\n갤럭시노트20 울트라 256GB,5,중고폰이어서 걱정했는데 제품 양호하고 카톡으로 원활하게 연락이 가능해서 안심하고 구입했습니다. 지금까지 구입 후 만족하며 사용중입니다.
658bbd02f6a7a54f2506c68e,sy21**,선택 옵션\n갤럭시노트20 울트라 256GB,4,SKT전용폰을 요청했는데 확인했다고 해놓고 5일만에 자급제가 왔습니다. SKT 유심을 새로  개통하여  회사 업무용 쓸려고 했는데 반품하기 귀찮아서 그냥 사용하겠습니다.\n폰상태는 괜찮습니다.
